Provider Name,City,State/Territory,County,Region Name,Address 1,Address 2,Zip,Phone,Ext.,Fax,Current Provider Urbanicity
 MGC-Family Medicine Chesnee Highway,Gaffney,SC,CHEROKEE,Upstate,517 CHESNEE HWY,STE A,29341,864-487-7655,,864-487-8718,Micropolitan
" Premier Pediatrics of Sumter, LLC",Sumter,SC,SUMTER,Pee Dee ,380 W Wesmark Blvd Unit B,,29150,803-607-9430,,803-607-9431,Small metro
ABBEVILLE COUNTY HEALTH DEPARTMENT,Abbeville,SC,ABBEVILLE,Upstate,905 W GREENWOOD ST,,29620,864-366-2131,,864-366-4105,Micropolitan
ADOLESCENT MEDICINE,Greenville,SC,GREENVILLE,Upstate,1350 CLEVELAND STREEET,,29607,864-522-4888,,864-522-4885,Medium metro
Affinity Health Center Clover,Clover,SC,YORK,Midlands ,300 CLINTON AVE,,29710,(803)909-9748,,(803)909-6364,Large fringe metro
Affinity Health Center Main Office,Rock Hill,SC,YORK,Midlands ,500 Lakeshore PKWY,,29730,803-909-6363,9748,803-909-6364,Large fringe metro
Affinity Health Center York,York,SC,YORK,Midlands ,37 PINCKNEY ST,,29745,(803) 909-9748,,(803)909-6364,Large fringe metro
AIKEN CENTER FOR FAMILY HEALTH,Aiken,SC,AIKEN,Midlands ,415 Barnwell AVE NW,,29801,803-644-4403,,(803)644-4405,Medium metro
AIKEN COUNTY HEALTH DEPARTMENT,Aiken,SC,AIKEN,Midlands ,222 BEAUFORT ST NE,,29801,(803)642-1687,,(803)643-4018,Medium metro
Aiken Regional Medical Centers,Aiken,SC,AIKEN,Midlands ,302 University PKWY,,29801,803-641-5875,,803-641-5811,Medium metro
Aiken Specialty Services ,Aiken,SC,AIKEN,Midlands ,209 Abbeville Ave. NW,,29801,8033061433,,8036321209,Medium metro
All Children Pediatrics,Ridgeland,SC,JASPER,LowCountry,11382 N Jacob Smart BLVD,,29936,843-645-9797,,(843)645-9798,Small metro
ALL CHILDRENS PEDIATRICS,Beaufort,SC,BEAUFORT,LowCountry,960 Ribaut Rd. STE 1,,29902,843-522-3870,,,Small metro
ALLENDALE COUNTY HEALTH DEPARTMENT,Allendale,SC,ALLENDALE,LowCountry,571 MEMORIAL AVE N,,29810,803-584-3818,,(803)584-8107,Non-Core
ALLERGY & ASTHMA CONSULTANTS,MOUNT PLEASANT,SC,CHARLESTON,LowCountry,180 WINGO WAY,STE 102,29464-0000,8438812030,,,Medium metro
ALLERGY & ASTHMA CONSULTANTS,CHARLESTON,SC,CHARLESTON,LowCountry,2270 ASHLEY XING,STE 150,29414-0000,843-556-9588,,,Medium metro
ALLERGY & ASTHMA CONSULTANTS,SUMMERVILLE,SC,DORCHESTER,LowCountry,102 MORGAN PL,,29485,8438329588,,,Medium metro
AMERICARE HEALTH  PC,PAGELAND,SC,CHESTERFIELD,Pee Dee ,905 N PEARL ST,,29728-0000,843-672-3100,,843-672-3102,Non-Core
ANDERSON COUNTY HEALTH DEPARTMENT,Anderson,SC,ANDERSON,Upstate,220 MCGEE RD,,29625,864-260-5633,,,Medium metro
ANDREWS MEDICAL CENTER,Andrews,SC,GEORGETOWN,Pee Dee ,701 S MORGAN Ave,,29510,843-264-5253,,(843)264-5970,Micropolitan
